Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Institution_Authors,Institution_Groups,DOI,ISSN,DOI_Journal,Cites,Impact_Factor,Quartil,Journal_Hindex
"Sierra, D Aristizabal; Kubo, Jisuke; Suematsu, Daijiro; Restrepo, D; Zapata, Oscar; ","Radiative seesaw model: Warm dark matter, collider signatures, and lepton flavor violating signals",Physical Review D,79,1,13011,2009,APS,Óscar Alberto Zapata Noreña,GFIF,10.1103/physrevd.79.013011,1550-7998;1550-2368,Physical Review D,83,4.643,Q1,259
"Restrepo, Diego; Taoso, Marco; Valle, JWF; Zapata, Oscar; ",Gravitino dark matter and neutrino masses with bilinear R-parity violation,Physical Review D,85,2,23523,2012,APS,Óscar Alberto Zapata Noreña,GFIF,10.1103/physrevd.85.023523,1550-7998;1550-2368,Physical Review D,40,4.643,Q1,259
"Choi, Ki-Young; Restrepo, Diego; Yaguna, Carlos E; Zapata, Oscar; ",Indirect detection of gravitino dark matter including its three-body decays,Journal of Cosmology and Astroparticle Physics,2010,10,33,2010,IOP Publishing,Óscar Alberto Zapata Noreña,GFIF,10.1088/1475-7516/2010/10/033,1475-7516,Journal of Cosmology and Astroparticle Physics,33,5.81,Q3,70
"Sierra, D Aristizabal; Restrepo, Diego; Zapata, Oscar; ",Decaying neutralino dark matter in anomalous U (1) H models,Physical Review D,80,5,55010,2009,APS,Óscar Alberto Zapata Noreña,GFIF,10.1103/physrevd.80.055010,1550-7998;1550-2368,Physical Review D,24,4.643,Q1,259
"Klasen, Michael; Yaguna, Carlos E; Ruiz-Álvarez, José D; Restrepo, Diego; Zapata, Oscar; ",Scalar dark matter and fermion coannihilations in the radiative seesaw model,Journal of Cosmology and Astroparticle Physics,2013,4,44,2013,IOP Publishing,Óscar Alberto Zapata Noreña,GFIF,10.1088/1475-7516/2013/04/044,1475-7516,Journal of Cosmology and Astroparticle Physics,18,5.81,Q3,70
"Florez, Andres; Restrepo, Diego; Velasquez, Mauricio; Zapata, Oscar; ",Baryonic violation of R parity from anomalous U (1) H,Physical Review D,87,9,95010,2013,APS,Óscar Alberto Zapata Noreña,GFIF,10.1103/physrevd.87.095010,1550-7998;1550-2368,Physical Review D,16,4.643,Q1,259
"Molinaro, Emiliano; Yaguna, Carlos E; Zapata, Oscar; ",FIMP realization of the scotogenic model,Journal of Cosmology and Astroparticle Physics,2014,7,15,2014,IOP Publishing,Óscar Alberto Zapata Noreña,GFIF,10.1088/1475-7516/2014/07/015,1475-7516,Journal of Cosmology and Astroparticle Physics,16,5.81,Q3,70
"Restrepo, Diego; Rivera, Andrés; Sánchez-Peláez, Marta; Zapata, Oscar; Tangarife, Walter; ",Radiative neutrino masses in the singlet-doublet fermion dark matter model with scalar singlets,Physical Review D,92,1,13005,2015,APS,Óscar Alberto Zapata Noreña,GFIF,10.1103/physrevd.92.013005,1550-7998;1550-2368,Physical Review D,12,4.643,Q1,259
"Arbeláez, Carolina; Longas, Robinson; Restrepo, Diego; Zapata, Oscar; ",Fermion dark matter from SO (10) GUTs,Physical Review D,93,1,13012,2016,APS,Óscar Alberto Zapata Noreña,GFIF,10.1103/physrevd.93.013012,2470-0010;2470-0029,Physical Review D,10,4.643,,
"Ponce, William A; Zapata, Oscar; ",Lepton masses and mixing without Yukawa hierarchies,Physical Review D,74,9,93007,2006,APS,Óscar Alberto Zapata Noreña,GFIF,10.1103/physrevd.74.093007,1550-7998;1550-2368,Physical Review D,10,4.643,Q1,259
"Ibarra, Alejandro; Yaguna, Carlos E; Zapata, Oscar; ",Direct detection of fermion dark matter in the radiative seesaw model,Physical Review D,93,3,35012,2016,APS,Óscar Alberto Zapata Noreña,GFIF,10.1103/physrevd.93.035012,2470-0010;2470-0029,Physical Review D,6,4.643,,
"Horiuchi, Shunsaku; Macias, Oscar; Restrepo, Diego; Rivera, Andrés; Zapata, Oscar; Silverwood, Hamish; ",The Fermi-LAT gamma-ray excess at the Galactic Center in the singlet-doublet fermion dark matter model,Journal of Cosmology and Astroparticle Physics,2016,3,48,2016,IOP Publishing,Óscar Alberto Zapata Noreña,GFIF,10.1088/1475-7516/2016/03/048,1475-7516,Journal of Cosmology and Astroparticle Physics,2,5.81,Q3,70
"Portillo, Dilia; Restrepo, Diego; Zapata, Oscar; ",The inert Zee model,Journal of High Energy Physics,2016,3,162,2016,,Óscar Alberto Zapata Noreña,GFIF,10.1007/jhep03(2016)162,1029-8479,Journal of High Energy Physics,0,6.111,Q2,153
